time_sch,time_act,code,dest,stat,orig
07:05,07:05,LH 2311 Lufthansa,Munich (MUC),CANCELLED,Amsterdam
07:05,08:13,OS 378 Austrian Airlines,Vienna (VIE),DEPARTED,Amsterdam
07:10,07:21,EJU 7891 easyJet Europe,Las Palmas de Gran Canaria (LPA),DEPARTED,Amsterdam
07:10,07:54,HV 5755 Transavia,Marrakech (RAK),DEPARTED,Amsterdam
07:10,08:39,HV 6335 Transavia,Valencia (VLC),DEPARTED,Amsterdam
07:10,07:38,HV 6863 Transavia,Athens (ATH),DEPARTED,Amsterdam
07:15,15:27,CD 591 Corendon Dutch Airlines,Tenerife (TFS),DEPARTED,Amsterdam
07:15,07:15,EJU 7853 easyJet Europe,Manchester (MAN),DEPARTED,Amsterdam
07:15,07:30,VY 8352 Vueling,Valencia (VLC),DEPARTED,Amsterdam
07:20,07:30,EJU 7835 easyJet Europe,Edinburgh (EDI),DEPARTED,Amsterdam
07:20,07:44,HV 5423 Transavia,Pisa (PSA),DEPARTED,Amsterdam
07:20,07:58,HV 6007 Transavia,Oporto (OPO),DEPARTED,Amsterdam
07:20,08:14,HV 6411 Transavia,Naples (NAP),DEPARTED,Amsterdam
07:20,07:37,KL 1001 KLM,London Heathrow (LHR),DEPARTED,Amsterdam
07:20,07:20,KL 1227 KLM,Paris de Gaulle (CDG),DEPARTED,Amsterdam
